Artist,Album,Webhook,Artwork,
Daft Punk,Discovery,spotify:album:2noRn2Aes5aoNVsU6iWThc,discovery.jpeg
Daft Punk,Random Access Memories,spotify:album:4m2880jivSbbyEGAKfITCa,random-access.jpeg
Daft Punk,Human After All,spotify:album:2T7DdrOvsqOqU9bGTkjBYu,human-after-all.jpeg
Daft Punk,TRON: Legacy,spotify:album:3AMXFnwHWXCvNr5NCCpLZI,tron.jpeg
Daft Punk,Homework,spotify:album:5uRdvUR7xCnHmUW8n64n9y,homework.jpeg
Daft Punk,Alive,spotify:album:7u6zL7kqpgLPISZYXNTgYk,alive.jpeg
Porter Robinson,Nurture,spotify:album:4Hjqdhj5rh816i1dfcUEaM,nurture.jpeg
Porter Robinson,Worlds,spotify:album:7AJPV0L05IyIBid97AvwVD,worlds.jpeg
Porter Robinson,Spitfire,spotify:album:1PUPPk8ahNbNLSDuLzA1jB,spitfire.jpeg
Porter Robinson,Shelter,spotify:track:2CgOd0Lj5MuvOqzqdaAXtS,shelter.jpeg
Madeon,Adventure,spotify:album:3uKLwDjku2Us0c81LEmftR,adventure.jpeg
Madeon,Good Faith,spotify:album:6Lq1lrCfkpxKa4jCo5gKWr,good-faith.jpeg
Jungle,Loving in stereo,spotify:album:1hykVcbmenjAoG7wwoXmCV,loving-in-stereo.jpeg
Beach Boys,Pet sounds,spotify:album:6GphKx2QAPRoVGWE9D7ou8,pet-sounds.jpeg
Lorde,Melodrama,spotify:album:4oCGmYsAQOWt2ACWTpNUU6,melodrama.jpeg
Ball Park Music,Ball Park Music,spotify:album:5pXeIuNUX07w4QsZ2lJjO3,ball-park-music.jpeg
Ball Park Music,Happiness and Surrounding Suburbs,spotify:track:5Tp5zLJbNfCPHoSo9cDfvg,happyness-and-surrounding.jpeg
